,AS16RHR_v31,AS16D4HR_v31,AS16RHNR_v31,AS16D4HNR_v31,AS16RHR_v33,AS16D4HR_v33,AS16RHNR_v33,AS16D4HNR_v33
78,-8.190671335274424e-13,9.868933631680818e-13,9.055154786846027e-13,0.0,-4.113158720907515e-12,0.0,9.154050877922254e-13,6.717190666662777e-13
79,0.0,0.0,0.0,-4.706636189011495e-13,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,-2.1148861610526738e-13,0.0,0.0,-9.174782330433964e-14
81,-1.0588375898203018e-12,0.0,0.0,0.0,-6.379400618410915e-12,0.0,0.0,0.0
82,-2.864970685589093e-15,0.0,0.0,0.0,1.8050146509368855e-13,-1.850597347122448e-12,0.0,0.0
83,0.0,0.0,-9.013541347186218e-13,2.4078724795908493e-12,1.3623445926565878e-12,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,-2.1846892942366405e-12,0.0,0.0,0.0
85,-5.801091373923192e-13,0.0,-1.719483462801634e-12,0.0,0.0,-1.6552068661572098e-12,-5.025792503487351e-12,0.0
86,0.0,-2.561472719463925e-13,5.711458529550536e-13,0.0,-1.2250134397583384e-12,0.0,0.0,0.0
87,0.0,-2.301608707025339e-13,1.142935224646011e-12,-4.0946701104631657e-13,0.0,1.34674128279917e-12,0.0,0.0
88,0.0,3.2426282784332333e-13,-1.4952504848064931e-12,0.0,0.0,0.0,0.0,1.5272388249042072e-12
89,0.0,0.0,1.3799875525672303e-13,0.0,0.0,0.0,0.0,-1.7040214266101588e-12
90,8.987853638252437e-13,0.0,0.0,-1.4336026089391435e-12,0.0,0.0,0.0,0.0
91,0.0,0.0,-1.6378405207640047e-13,0.0,0.0,0.0,0.0,1.9004230404812337e-13
92,1.4392578978034633e-13,2.9981217356516885e-13,0.0,0.0,0.0,0.0,0.0,0.0
93,0.0,2.2201467328384682e-12,0.0,-7.435320120812367e-13,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0,5.4728431385355115e-12,-2.7157328242544277e-12,0.0,0.0
95,-1.0230312421495025e-12,0.0,8.866353492540591e-13,0.0,0.0,-4.238604343220321e-12,0.0,0.0
96,0.0,1.1457412358405356e-12,0.0,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0,0.0,0.0,4.295732442349852e-13,0.0
98,0.0,0.0,0.0,0.0,2.2866511194085946e-13,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8506685559578604e-12
100,0.0,1.1597425515358352e-12,0.0,-2.370568414733456e-13,-9.86180946697128e-12,2.2934085460293063e-13,0.0,0.0
101,0.0,2.4856047015700245e-12,0.0,0.0,-1.952436069991377e-12,-5.07358998678997e-14,1.6229161477732574e-12,-2.4057217303717317e-12
102,0.0,0.0,9.648764049275391e-13,0.0,4.828235619478675e-12,0.0,0.0,0.0
103,-2.4192292884704645e-13,0.0,-8.392649450837491e-13,0.0,0.0,1.4287553575648559e-12,0.0,0.0
104,0.0,0.0,0.0,0.0,1.3320350435732219e-12,0.0,0.0,0.0
105,0.0,0.0,0.0,8.973776120327186e-13,0.0,0.0,0.0,0.0
106,0.0,1.938117231100993e-12,0.0,0.0,2.2799638534572023e-12,0.0,0.0,0.0
107,0.0,0.0,5.178518544362591e-13,2.4642609302969084e-12,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,-1.7065720317110066e-12,2.8191105737155376e-12,0.0,-2.1976999598957198e-12,1.0649183247399114e-12
109,0.0,0.0,0.0,0.0,0.0,2.2222569073578807e-12,0.0,0.0
110,-9.030482328454361e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,-1.9718431659917212e-12,0.0,0.0,1.5884358343891097e-12,0.0,0.0,0.0,0.0
