,D,vo,fs,mean_f_coll,error_f_coll,mean_no,error_no,per_motor_force,force_per_2motor_state
59,0.0,8e-07,4e-12,-3.3328994303804615e-12,4.864630014061007e-15,1.0393889051029341,0.0006517161172535842,-3.2065951579985293e-12,-3.647073900976738e-12
60,0.0,8e-07,5e-12,-4.114788237950844e-12,6.360749229186986e-15,1.0651727911005744,0.0008333211264899677,-3.863024170659953e-12,-4.364260007176839e-12
61,0.0,8e-07,6e-12,-4.6473775617637335e-12,5.931285562173511e-15,1.0702356591194138,0.0008530269902616436,-4.3423871389106766e-12,-4.299499457079986e-12
62,0.0,8e-07,7e-12,-5.214747923963587e-12,6.2950257614505e-15,1.0713620387734573,0.0009084046258238463,-4.867400314027984e-12,-4.214679375406689e-12
63,0.0,8e-07,8e-12,-5.742362656544967e-12,5.609320011111101e-15,1.0398588941237137,0.0006813080523327079,-5.5222518064665305e-12,-4.419675589749739e-12
64,1.0,1e-07,1e-12,-9.662012696783392e-13,4.398620139206149e-15,1.3761975013539,0.0026941069329018707,-7.02080383613393e-13,-6.393441815859849e-13
65,1.0,1e-07,2e-12,-1.2164918104421992e-12,5.426219291583579e-15,1.3304312483956533,0.0024951010880844312,-9.14359018483028e-13,-8.789943309003079e-13
66,1.0,1e-07,3e-12,-1.2234232846140956e-12,7.55331944818125e-15,1.2969495688091317,0.0028848507588387262,-9.43308293581108e-13,-9.182661278456793e-13
67,1.0,1e-07,4e-12,-1.5299696174210083e-12,8.306429070239136e-15,1.293183355462585,0.0026346483589574318,-1.183103394393537e-12,-1.1629335209265109e-12
68,1.0,1e-07,5e-12,-1.1945209269536746e-12,1.0005313461465102e-14,1.2733097345132742,0.002952522596991801,-9.381228263445916e-13,-9.356899670815246e-13
69,1.0,1e-07,6e-12,-1.630340703629145e-12,1.066792255595538e-14,1.2945064256460952,0.0027373149722231026,-1.2594303676904756e-12,-1.18240710685652e-12
70,1.0,1e-07,7e-12,-9.806970756284652e-13,1.0873521378331295e-14,1.1797708725674827,0.002600860816513759,-8.312606273235225e-13,-8.757965873428712e-13
71,1.0,1e-07,8e-12,-1.545133967229697e-12,1.3536659407547708e-14,1.2542942899504574,0.002968415831343865,-1.2318751505204788e-12,-1.3720943693294351e-12
72,1.0,2e-07,1e-12,-1.9037091404870014e-12,5.02533301852847e-15,1.7143247534029098,0.002735963117519224,-1.1104717100468662e-12,-1.1834709055867358e-12
73,1.0,2e-07,2e-12,-2.2568472957889023e-12,5.516685368070369e-15,1.5408131381934984,0.0025088250407213804,-1.4647118718334052e-12,-1.4452934241135624e-12
74,1.0,2e-07,3e-12,-2.603705298609321e-12,7.551975123890303e-15,1.4769900599687833,0.0026784340029037514,-1.7628455120844558e-12,-1.7877664874850332e-12
75,1.0,2e-07,4e-12,-3.0638133416184943e-12,8.15628965666936e-15,1.4203191019738917,0.0025101331720360186,-2.157130279639662e-12,-2.0719643672436418e-12
76,1.0,2e-07,5e-12,-3.2978709127699776e-12,1.003837939460046e-14,1.380441900057997,0.0025569469265045146,-2.3889965326548134e-12,-2.3241630623876107e-12
77,1.0,2e-07,6e-12,-3.7524201125931725e-12,1.3416810584043456e-14,1.394480741992964,0.0028174411623015385,-2.6909085221430085e-12,-2.7852388677250096e-12
78,1.0,2e-07,7e-12,-3.7612239344937335e-12,1.2064954774862599e-14,1.3059263214095034,0.0024531553728174963,-2.8801195540910723e-12,-2.466847073842353e-12
79,1.0,2e-07,8e-12,-4.45526809086303e-12,1.5461705846617647e-14,1.3356689794142567,0.0024573710759304875,-3.335607968388126e-12,-3.178789248390833e-12
80,1.0,3e-07,1e-12,-2.308342893637135e-12,4.8965697762307365e-15,1.8587668668590593,0.002742071263915169,-1.2418678935986032e-12,-1.2544467596924897e-12
81,1.0,3e-07,2e-12,-2.904765564947105e-12,5.460125099386519e-15,1.7665509119177738,0.002460068020766199,-1.6443146616101097e-12,-1.670485962871889e-12
82,1.0,3e-07,3e-12,-3.5310356331739877e-12,7.042816405846296e-15,1.7032652178613905,0.002558392198880897,-2.0730979510093766e-12,-2.089180253178195e-12
83,1.0,3e-07,4e-12,-4.152098071487809e-12,9.216863782135537e-15,1.637504313617227,0.0026731227667146345,-2.53562573054594e-12,-2.652173977676764e-12
84,1.0,3e-07,5e-12,-4.7691849021669665e-12,1.0772320307116882e-14,1.601765409522762,0.002664244834777898,-2.9774552963956944e-12,-3.046308250920869e-12
85,1.0,3e-07,6e-12,-5.072151705448178e-12,1.2069356876766672e-14,1.4782201405152224,0.0025924263322141265,-3.4312559857832256e-12,-3.315966912675515e-12
86,1.0,3e-07,7e-12,-5.073091469193603e-12,1.3537215287204264e-14,1.3655257987798572,0.00248831267741777,-3.715119460742945e-12,-3.4500558669027625e-12
87,1.0,3e-07,8e-12,-6.089889958697826e-12,1.4101207115510842e-14,1.418321163478366,0.0024121188366038283,-4.293731289860089e-12,-4.0826998008476435e-12
88,1.0,4e-07,1e-12,-2.7487122521863397e-12,4.4165901609110864e-15,2.0659605770504603,0.002417110427879091,-1.3304766231844721e-12,-1.3627270385097635e-12
89,1.0,4e-07,2e-12,-3.450747197178047e-12,5.718053983182411e-15,1.9702127659574469,0.0025138518368592244,-1.7514591605547323e-12,-1.7657711641504549e-12
90,1.0,4e-07,3e-12,-4.163007063519757e-12,7.242372457764276e-15,1.884229436208242,0.002630453445486032,-2.2093949831806302e-12,-2.222934090791632e-12
91,1.0,4e-07,4e-12,-4.983222976597811e-12,8.705971077538752e-15,1.8225584862273583,0.00255060778444974,-2.7341909816638775e-12,-2.812940688433767e-12
92,1.0,4e-07,5e-12,-5.356578680158727e-12,9.831757423178284e-15,1.635338305521275,0.0024461334998602926,-3.2755171587883046e-12,-3.2835431983695416e-12
93,1.0,4e-07,6e-12,-6.468069782572566e-12,1.2707672789281089e-14,1.7247181061455812,0.0026927740874774855,-3.750218519493298e-12,-3.800142101141187e-12
94,1.0,4e-07,7e-12,-6.98967995169796e-12,1.3585054595866573e-14,1.6040426466282816,0.002524426241753827,-4.357539973385595e-12,-4.40114288644432e-12
95,1.0,4e-07,8e-12,-6.9373368590352435e-12,1.4133969827473845e-14,1.4601024697845506,0.0023845745170800662,-4.75126712172393e-12,-4.654574718676146e-12
96,1.0,5e-07,1e-12,-2.8972633140604124e-12,4.550672311095142e-15,2.08678318904799,0.0024904879955602883,-1.3883873175066982e-12,-1.3919115083479154e-12
97,1.0,5e-07,2e-12,-3.750596544554215e-12,5.979883929243692e-15,2.0480665633822754,0.002623294201807967,-1.8312864491866415e-12,-1.854107744808324e-12
98,1.0,5e-07,3e-12,-4.490884396975526e-12,7.0324693284705594e-15,1.9294279081270393,0.0024945626424560793,-2.327573047979273e-12,-2.332181797314157e-12
99,1.0,5e-07,4e-12,-5.199065537932181e-12,8.286827217957592e-15,1.8260370317209702,0.002467805705249478,-2.8471851597841146e-12,-2.922266669815862e-12
100,1.0,5e-07,5e-12,-6.091121273185713e-12,9.955240168419824e-15,1.7831919432455225,0.0024157868884256213,-3.4158528453754035e-12,-3.539810272380066e-12
101,1.0,5e-07,6e-12,-6.703581908169034e-12,1.0705223777133746e-14,1.6864812602045005,0.0022825289323350206,-3.974892615976157e-12,-4.02676400123314e-12
102,1.0,5e-07,7e-12,-7.482491248544231e-12,1.2455433843311619e-14,1.641713849107615,0.0022733926902160496,-4.557731697647237e-12,-4.591811637669697e-12
103,1.0,5e-07,8e-12,-8.29410913594183e-12,1.5310653889878352e-14,1.619541785157325,0.0024935645321420446,-5.121268998401376e-12,-5.247738966004371e-12
104,1.0,6e-07,1e-12,-3.074220783199749e-12,4.62178681483058e-15,2.189619431812947,0.002563656382230798,-1.4039977625949252e-12,-1.4124915605666213e-12
105,1.0,6e-07,2e-12,-3.915529524991937e-12,5.908852089697767e-15,2.0928886503139075,0.0025389193564506808,-1.8708733139742794e-12,-1.876989581703626e-12
106,1.0,6e-07,3e-12,-4.709305387915008e-12,6.858637572208135e-15,1.9661948937229548,0.0024180793549086377,-2.395136617915848e-12,-2.3857964413916567e-12
107,1.0,6e-07,4e-12,-5.295333678252467e-12,7.927009419063784e-15,1.8080069553697111,0.0023456501729676366,-2.928823731858735e-12,-2.963218486348219e-12
108,1.0,6e-07,5e-12,-6.5201003431917125e-12,9.921291149195759e-15,1.8639628866329119,0.0024718154164839563,-3.4979775562858503e-12,-3.5708782629871315e-12
109,1.0,6e-07,6e-12,-7.277189132277503e-12,1.115932490801675e-14,1.7792820767606508,0.0023706975399395503,-4.0899580945177084e-12,-4.194032152670042e-12
110,1.0,6e-07,7e-12,-8.092093044523728e-12,1.1321504401534959e-14,1.7177777966001202,0.0020953906399566145,-4.710791500821499e-12,-4.846571353997508e-12
