,ASB1n1v2,ASB1n2v2,ASB1n3v2,ASB1n4v2,ASB1n5v2,,,,
299,0.859765,7.937136,2.023893,9.86099,0.544287,,,,
300,26.208949,20.178751,15.941111,2.555512,1.658015,,,,
301,1.725695,1.161526,15.540062,8.111767,7.091952,,,,
302,2.25935,37.946541,25.836171,28.999525,1.395553,,,,
303,0.654196,0.317972,8.420014,3.790866,2.277501,,,,
304,15.608765,3.320551,8.527292,9.58369,3.560175,,,,
305,21.088845,3.517252,13.774152,2.639247,17.524409,,,,
306,8.761975,2.48467,2.196691,2.319959,8.219933,,,,
307,7.085466,5.699491,0.431808,20.105344,15.602892,,,,
308,10.421319,7.497793,0.968081,12.635072,4.762621,,,,
309,3.509596,3.924954,2.695609,0.844057,1.838986,,,,
310,6.816888,2.833268,1.75307,4.085305,3.830682,,,,
311,0.067914,1.44594,1.398667,0.317232,7.402435,,,,
312,0.657843,2.880385,6.293483,17.672064,2.495174,,,,
313,42.741933,3.775638,4.596624,9.364937,0.574146,,,,
314,1.458059,10.141693,0.712722,5.063174,0.402211,,,,
315,1.70612,6.071373,1.336922,0.724833,16.826712,,,,
316,0.159712,4.60653,19.981062,2.156912,0.413838,,,,
317,0.141726,30.329667,3.645384,6.711555,5.893374,,,,
318,17.684809,9.057691,3.106275,2.944704,16.169521,,,,
319,1.397661,35.211379,6.319305,1.769696,3.452978,,,,
320,19.413369,9.975518,3.639544,7.979395,0.155264,,,,
321,9.460365,13.370162,6.389571,1.55414,7.400788,,,,
322,7.018204,16.969444,2.150097,6.261776,0.140361,,,,
323,4.727939,7.261045,0.600334,13.173103,23.032152,,,,
324,15.636698,0.947984,6.625396,6.598847,7.420817,,,,
325,2.882363,7.42897,10.493564,1.62229,24.627326,,,,
326,4.265332,15.63296,2.378681,4.193972,3.650424,,,,
327,2.78365,7.98483,8.67919,1.775445,5.736466,,,,
328,0.675411,14.2334,3.501994,3.170047,1.393056,,,,
329,0.690829,11.798998,0.172377,0.972995,14.577864,,,,
330,8.105243,9.447896,6.461045,6.088693,16.827139,,,,
331,6.198126,3.618741,20.982267,4.324231,12.517149,,,,
332,2.436297,2.110829,19.035838,8.397595,4.544815,,,,
333,4.63586,6.79575,10.036363,1.227078,0.759949,,,,
334,7.118614,0.834427,15.703663,3.266819,8.627081,,,,
335,4.023554,2.455474,0.811191,2.862584,5.468918,,,,
336,6.780278,25.747746,21.018736,2.699832,4.659182,,,,
337,9.149681,1.18523,0.267487,3.632548,1.874145,,,,
338,1.32768,2.785925,8.406393,5.075743,2.894186,,,,
339,1.484567,3.151999,10.626376,1.303291,2.466566,,,,
340,3.142177,7.915306,19.45076,8.95362,3.35586,,,,
341,1.383512,20.574762,1.193945,1.410987,0.036257,,,,
342,5.263202,22.189603,4.099051,20.939849,7.016393,,,,
343,1.288301,5.192001,2.575289,2.123129,9.945611,,,,
344,3.445008,5.71969,24.225791,3.460367,1.659867,,,,
345,9.373217,9.736843,4.735909,10.372336,6.620196,,,,
346,5.56222,3.733749,4.948063,48.64542,0.853737,,,,
347,1.240588,5.558905,8.718752,3.931072,12.050793,,,,
348,8.750829,0.63186,2.937362,0.442046,0.021828,,,,
349,7.723362,9.831324,1.867707,4.978111,2.871871,,,,
350,0.00781,2.171279,3.887706,0.78886,1.074948,,,,
351,2.579197,8.390678,3.703306,4.634094,19.665457,,,,
352,0.333783,4.940466,7.44466,0.216827,6.78041,,,,
353,37.958818,2.570993,3.165601,4.607707,9.556496,,,,
354,15.63445,0.357448,14.636927,1.397264,1.82332,,,,
355,0.950465,4.123452,12.300956,4.617841,1.598992,,,,
356,2.484716,11.32619,1.315904,6.241726,2.161186,,,,
357,13.310007,0.335367,15.592089,10.84467,2.127591,,,,
358,22.438536,12.630837,5.822349,6.136553,25.851411,,,,
